rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
First sentence should end with a period.;5196;12;5184;0.3;0.9994226327944572;8.606882130483643e-05;0.9166666666666666;0.03726779962499649;0.845970695970696;0.005336557613308943;0.8796410256410254;0.020080115671103356
Redundant 'private' modifier.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;5197;31;5166;0.3;0.9989032133923417;0.00019337840333116932;0.9612903225806452;0.012903225806451646;0.869629329004329;0.025708126662216918;0.9128899976474603;0.014257354464963344
Utility classes should not have a public or default constructor.;5197;2;5195;0.3;0.9994227438907062;0.0;0.5;0.0;0.33333333333333337;5.551115123125783e-17;0.4;0.0
Unknown tag;5196;1;5195;0.3;0.9992301770592764;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;5196;3;5193;0.3;0.9995381062355658;9.428366985308029e-05;0.6666666666666667;1.1102230246251565e-16;0.6;0.08164965809277258;0.6285714285714286;0.04665694748158429
'else' construct must use '{}'s.;5197;1;5196;0.3;0.999615162593804;0.00019241870309794074;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;5196;5;5191;0.3;0.999538106235566;9.428366985308029e-05;0.72;0.09797958971132717;0.78;0.024494897427831803;0.7466666666666667;0.06531972647421823
'protected' modifier out of order with the JLS suggestions.;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;5196;1;5195;0.3;0.999807544264819;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Unclosed HTML tag found;5197;1;5196;0.3;0.999730613815663;9.426552791160951e-05;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;5197;1;5196;0.3;0.9996344044641139;5.772561092938222e-05;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;5197;13;5184;0.3;0.998691552818934;7.69674812391763e-05;0.7692307692307693;0.0;0.7252747252747254;0.021978021978021987;0.7464387464387464;0.011396011396011384
Expression can be simplified.;5197;1;5196;0.3;0.9997498556859726;8.817732720715472e-05;0.0;0.0;0.0;0.0;0.0;0.0
