rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Array brackets at illegal position.;9073;0;9073;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;9073;1;9072;0.2;0.9997685440317424;5.9353739745783935e-05;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';9073;0;9073;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;9074;1;9073;0.2;0.9998897950187349;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;9074;1;9073;0.2;0.9998897950187349;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;9073;0;9073;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;15122;10231;4891;0.3;0.9954767887845524;0.00012616574545921069;0.9969993158049066;4.479108293378535e-05;0.9963176838691001;0.00019961527589794953;0.9966583709303583;9.286852763241574e-05
'package' should be separated from previous statement.;15122;32;15090;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'{' should be on the previous line;15122;493;14629;0.3;0.9995304853855309;6.238580301583332e-05;0.9935091277890467;0.000811359026369196;0.9921044087133785;0.0018959064139997214;0.9928050382201399;0.000951118737915001
First sentence of Javadoc is incomplete (period is missing) or not present.;15122;139;14983;0.3;0.9981748445972756;6.743842763642303e-05;0.9280575539568346;1.1102230246251565e-16;0.8799880957374716;0.006133501103419948;0.903372874029729;0.0032288966328835587
Line contains a tab character.;15122;10122;5000;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;15123;6093;9030;0.3;0.9906962904185678;0.0004386697954274407;0.9891186607582471;0.0007341627850433446;0.9878056498150988;0.0005742495115298637;0.988461580540241;0.0005450667853690142
